producto,ventas,fecha
A,326,2023-01-01
B,463,2023-01-02
C,369,2023-01-03
A,468,2023-01-04
B,396,2023-01-05
C,428,2023-01-06
A,119,2023-01-07
B,195,2023-01-08
C,428,2023-01-09
A,348,2023-01-10
B,280,2023-01-11
C,423,2023-01-12
A,417,2023-01-13
B,370,2023-01-14
C,452,2023-01-15
A,360,2023-01-16
B,337,2023-01-17
C,239,2023-01-18
A,186,2023-01-19
B,477,2023-01-20
C,209,2023-01-21
A,431,2023-01-22
B,284,2023-01-23
C,116,2023-01-24
A,252,2023-01-25
B,249,2023-01-26
C,210,2023-01-27
A,125,2023-01-28
B,477,2023-01-29
C,474,2023-01-30
A,217,2023-01-31
B,183,2023-02-01
C,261,2023-02-02
A,460,2023-02-03
B,328,2023-02-04
C,351,2023-02-05
A,221,2023-02-06
B,426,2023-02-07
C,387,2023-02-08
A,113,2023-02-09
B,427,2023-02-10
C,284,2023-02-11
A,252,2023-02-12
B,179,2023-02-13
C,141,2023-02-14
A,374,2023-02-15
B,140,2023-02-16
C,307,2023-02-17
A,367,2023-02-18
B,266,2023-02-19
C,211,2023-02-20
A,449,2023-02-21
B,229,2023-02-22
C,323,2023-02-23
A,474,2023-02-24
B,400,2023-02-25
C,316,2023-02-26
A,481,2023-02-27
B,20000,2023-02-28
C,30000,2023-03-01
C,428,2023-01-06
A,119,2023-01-07
B,195,2023-01-08
C,428,2023-01-09
A,348,2023-01-10
